"alert__week","alert__year","alert__count","confidence__cat"
52,2023,8,"n"
24,2023,53,"n"
23,2023,89,"n"
23,2023,5,"l"
23,2023,2,"h"
22,2023,123,"n"
22,2023,6,"l"
21,2023,56,"n"
20,2023,809,"n"
20,2023,134,"h"
20,2023,15,"l"
19,2023,6,"l"
19,2023,100,"n"
18,2023,1,"h"
18,2023,2,"l"
18,2023,129,"n"
17,2023,4,"l"
17,2023,81,"n"
17,2023,4,"h"
16,2023,2,"h"
16,2023,139,"n"
16,2023,8,"l"
15,2023,7,"l"
15,2023,4,"h"
15,2023,221,"n"
14,2023,8,"h"
14,2023,418,"n"
14,2023,17,"l"
13,2023,1081,"n"
13,2023,35,"h"
13,2023,24,"l"
12,2023,13,"l"
12,2023,22,"h"
12,2023,457,"n"
11,2023,3,"l"
11,2023,5,"h"
11,2023,333,"n"
10,2023,279,"n"
10,2023,2,"l"
10,2023,4,"h"
9,2023,190,"n"
9,2023,2,"l"
9,2023,4,"h"
8,2023,2,"h"
8,2023,136,"n"
7,2023,464,"n"
7,2023,5,"h"
7,2023,6,"l"
6,2023,2,"l"
6,2023,202,"n"
5,2023,215,"n"
4,2023,1,"l"
4,2023,78,"n"
3,2023,63,"n"
2,2023,1,"l"
2,2023,87,"n"
1,2023,101,"n"
52,2022,115,"n"
52,2022,2,"h"
51,2022,53,"n"
50,2022,33,"n"
49,2022,18,"n"
48,2022,1,"h"
48,2022,84,"n"
47,2022,1,"h"
47,2022,64,"n"
46,2022,86,"n"
45,2022,1,"h"
45,2022,264,"n"
45,2022,3,"l"
44,2022,2,"l"
44,2022,135,"n"
43,2022,10,"h"
43,2022,7,"l"
43,2022,172,"n"
42,2022,10,"l"
42,2022,5,"h"
42,2022,212,"n"
41,2022,5,"l"
41,2022,1,"h"
41,2022,191,"n"
40,2022,195,"n"
39,2022,2,"h"
39,2022,199,"n"
39,2022,13,"l"
38,2022,9,"l"
38,2022,226,"n"
38,2022,10,"h"
37,2022,2,"h"
37,2022,117,"n"
37,2022,2,"l"
36,2022,26,"h"
36,2022,33,"l"
36,2022,417,"n"
35,2022,307,"n"
35,2022,16,"l"
35,2022,6,"h"
34,2022,20,"l"
34,2022,13,"h"
34,2022,248,"n"
30,2022,13,"l"
30,2022,210,"n"
30,2022,18,"h"
29,2022,199,"h"
29,2022,2144,"n"
29,2022,80,"l"
28,2022,90,"l"
28,2022,798,"n"
28,2022,128,"h"
27,2022,99,"n"
27,2022,17,"h"
27,2022,12,"l"
26,2022,24,"n"
26,2022,1,"l"
26,2022,6,"h"
25,2022,151,"n"
25,2022,3,"h"
25,2022,3,"l"
24,2022,771,"n"
24,2022,82,"h"
24,2022,59,"l"
23,2022,10,"l"
23,2022,20,"h"
23,2022,101,"n"
22,2022,52,"n"
22,2022,9,"l"
21,2022,5,"l"
21,2022,149,"n"
20,2022,2,"h"
20,2022,5,"l"
20,2022,114,"n"
19,2022,4,"l"
19,2022,54,"n"
18,2022,52,"n"
18,2022,1,"l"
17,2022,14,"n"
16,2022,53,"n"
15,2022,2,"l"
15,2022,1,"h"
15,2022,117,"n"
14,2022,1,"h"
14,2022,100,"n"
13,2022,4,"l"
13,2022,79,"n"
12,2022,1,"h"
12,2022,30,"n"
12,2022,2,"l"
11,2022,27,"n"
10,2022,1,"l"
10,2022,41,"n"
9,2022,60,"n"
9,2022,2,"h"
9,2022,1,"l"
8,2022,1,"l"
8,2022,101,"n"
8,2022,6,"h"
7,2022,1,"h"
7,2022,1,"l"
7,2022,162,"n"
6,2022,1,"l"
6,2022,178,"n"
6,2022,2,"h"
5,2022,1,"h"
5,2022,126,"n"
4,2022,4,"h"
4,2022,248,"n"
4,2022,5,"l"
3,2022,79,"n"
3,2022,1,"l"
2,2022,99,"n"
1,2022,58,"n"
1,2022,1,"h"
53,2021,11,"n"
52,2021,87,"n"
52,2021,3,"l"
52,2021,1,"h"
51,2021,1,"l"
51,2021,275,"n"
51,2021,1,"h"
50,2021,12,"h"
50,2021,9,"l"
50,2021,211,"n"
49,2021,595,"n"
49,2021,41,"l"
49,2021,8,"h"
48,2021,383,"n"
48,2021,2,"h"
48,2021,31,"l"
47,2021,4,"l"
47,2021,38,"h"
47,2021,188,"n"
46,2021,153,"h"
46,2021,254,"n"
46,2021,42,"l"
45,2021,81,"h"
45,2021,236,"n"
45,2021,21,"l"
44,2021,386,"n"
44,2021,4,"l"
44,2021,100,"h"
43,2021,14,"h"
43,2021,244,"n"
43,2021,7,"l"
42,2021,12,"l"
42,2021,561,"n"
42,2021,47,"h"
41,2021,179,"n"
41,2021,75,"l"
41,2021,10,"h"
40,2021,248,"n"
40,2021,17,"l"
40,2021,294,"h"
39,2021,75,"h"
39,2021,93,"l"
39,2021,1507,"n"
38,2021,8,"l"
38,2021,49,"h"
38,2021,464,"n"
37,2021,72,"n"
37,2021,1,"h"
36,2021,48,"h"
36,2021,25,"l"
36,2021,364,"n"
35,2021,4,"h"
35,2021,66,"n"
35,2021,6,"l"
34,2021,6,"h"
34,2021,78,"n"
34,2021,22,"l"
33,2021,14,"l"
33,2021,157,"n"
33,2021,16,"h"
32,2021,91,"h"
32,2021,319,"n"
32,2021,25,"l"
31,2021,6,"h"
31,2021,44,"n"
30,2021,3,"l"
30,2021,44,"n"
30,2021,1,"h"
29,2021,12,"l"
29,2021,19,"h"
29,2021,174,"n"
28,2021,10,"l"
28,2021,16,"h"
28,2021,77,"n"
27,2021,16,"l"
27,2021,179,"n"
27,2021,1,"h"
26,2021,4,"l"
26,2021,3,"h"
26,2021,44,"n"
25,2021,5,"h"
25,2021,225,"n"
25,2021,4,"l"
24,2021,2,"l"
24,2021,33,"n"
24,2021,1,"h"
23,2021,58,"n"
23,2021,9,"l"
23,2021,7,"h"
22,2021,1,"l"
22,2021,2,"h"
22,2021,39,"n"
21,2021,61,"n"
21,2021,1,"l"
21,2021,3,"h"
20,2021,87,"n"
20,2021,16,"l"
20,2021,40,"h"
19,2021,1,"l"
19,2021,25,"n"
19,2021,2,"h"
18,2021,3,"l"
18,2021,65,"n"
17,2021,15,"n"
16,2021,1,"l"
16,2021,44,"n"
15,2021,76,"n"
14,2021,99,"n"
14,2021,2,"h"
14,2021,1,"l"
13,2021,8,"l"
13,2021,211,"n"
12,2021,6,"h"
12,2021,137,"n"
12,2021,1,"l"
11,2021,212,"n"
11,2021,7,"h"
11,2021,16,"l"
10,2021,94,"n"
10,2021,1,"l"
9,2021,23,"n"
8,2021,54,"n"
7,2021,36,"n"
7,2021,1,"h"
6,2021,16,"n"
5,2021,1,"l"
5,2021,32,"n"
4,2021,48,"n"
3,2021,2,"h"
3,2021,57,"n"
2,2021,1,"l"
2,2021,36,"n"
1,2021,13,"n"
53,2020,7,"n"
52,2020,35,"n"
51,2020,26,"n"
50,2020,29,"n"
49,2020,1,"l"
49,2020,41,"n"
48,2020,79,"n"
47,2020,3,"h"
47,2020,139,"n"
46,2020,78,"n"
45,2020,2,"l"
45,2020,51,"n"
44,2020,104,"n"
44,2020,3,"l"
44,2020,3,"h"
43,2020,1,"l"
43,2020,3,"h"
43,2020,45,"n"
42,2020,5,"l"
42,2020,351,"n"
42,2020,8,"h"
41,2020,46,"n"
41,2020,6,"l"
40,2020,124,"n"
40,2020,4,"h"
40,2020,5,"l"
39,2020,37,"n"
39,2020,1,"h"
39,2020,3,"l"
38,2020,193,"n"
38,2020,4,"l"
38,2020,7,"h"
37,2020,29,"l"
37,2020,15,"h"
37,2020,117,"n"
36,2020,142,"n"
36,2020,10,"h"
36,2020,12,"l"
35,2020,54,"h"
35,2020,41,"l"
35,2020,387,"n"
34,2020,73,"n"
34,2020,3,"h"
34,2020,29,"l"
33,2020,12,"l"
33,2020,128,"n"
33,2020,4,"h"
32,2020,6,"l"
32,2020,99,"n"
32,2020,15,"h"
31,2020,21,"h"
31,2020,144,"n"
31,2020,14,"l"
30,2020,108,"n"
30,2020,14,"l"
30,2020,12,"h"
29,2020,11,"h"
29,2020,8,"l"
29,2020,132,"n"
28,2020,9,"l"
28,2020,45,"n"
28,2020,4,"h"
27,2020,6,"h"
27,2020,7,"l"
27,2020,132,"n"
26,2020,4,"h"
26,2020,17,"n"
26,2020,9,"l"
25,2020,50,"n"
25,2020,7,"l"
25,2020,2,"h"
24,2020,2,"h"
24,2020,7,"l"
24,2020,92,"n"
23,2020,5,"l"
23,2020,2,"h"
23,2020,25,"n"
22,2020,9,"l"
22,2020,72,"n"
21,2020,61,"n"
21,2020,2,"h"
20,2020,26,"n"
20,2020,3,"l"
19,2020,2,"l"
19,2020,27,"n"
18,2020,22,"n"
17,2020,4,"n"
16,2020,19,"n"
15,2020,5,"n"
15,2020,2,"l"
14,2020,1,"l"
14,2020,16,"n"
13,2020,122,"n"
13,2020,1,"l"
13,2020,1,"h"
12,2020,21,"n"
12,2020,1,"l"
11,2020,1,"l"
11,2020,5,"h"
11,2020,138,"n"
10,2020,63,"n"
9,2020,6,"h"
9,2020,253,"n"
8,2020,3,"l"
8,2020,2,"h"
8,2020,187,"n"
7,2020,148,"n"
7,2020,1,"l"
7,2020,1,"h"
6,2020,89,"n"
5,2020,29,"n"
4,2020,9,"n"
3,2020,44,"n"
2,2020,42,"n"
2,2020,1,"l"
2,2020,1,"h"
1,2020,12,"n"
52,2019,42,"n"
52,2019,1,"l"
51,2019,22,"n"
50,2019,35,"n"
50,2019,2,"l"
49,2019,44,"n"
48,2019,54,"n"
47,2019,11,"n"
46,2019,4,"h"
46,2019,45,"n"
45,2019,70,"n"
44,2019,39,"n"
43,2019,102,"n"
43,2019,2,"l"
42,2019,59,"n"
42,2019,8,"l"
41,2019,130,"n"
41,2019,8,"l"
41,2019,2,"h"
40,2019,3,"h"
40,2019,6,"l"
40,2019,138,"n"
39,2019,133,"n"
39,2019,8,"l"
38,2019,1,"l"
38,2019,37,"n"
37,2019,13,"l"
37,2019,3,"h"
37,2019,107,"n"
36,2019,111,"n"
36,2019,6,"l"
36,2019,7,"h"
35,2019,86,"n"
35,2019,8,"l"
34,2019,5,"l"
34,2019,155,"n"
34,2019,18,"h"
33,2019,12,"l"
33,2019,165,"n"
33,2019,22,"h"
32,2019,94,"n"
32,2019,11,"l"
32,2019,2,"h"
31,2019,126,"n"
31,2019,16,"l"
31,2019,14,"h"
30,2019,2,"l"
30,2019,3,"h"
30,2019,101,"n"
29,2019,48,"n"
29,2019,17,"l"
29,2019,12,"h"
28,2019,8,"l"
28,2019,9,"h"
28,2019,103,"n"
27,2019,51,"n"
27,2019,1,"h"
27,2019,20,"l"
26,2019,14,"h"
26,2019,15,"l"
26,2019,170,"n"
25,2019,10,"h"
25,2019,63,"n"
25,2019,14,"l"
24,2019,6,"h"
24,2019,2,"l"
24,2019,149,"n"
23,2019,136,"n"
23,2019,1,"h"
23,2019,4,"l"
22,2019,19,"l"
22,2019,227,"n"
22,2019,9,"h"
21,2019,114,"n"
21,2019,1,"h"
21,2019,1,"l"
20,2019,11,"l"
20,2019,74,"n"
20,2019,1,"h"
19,2019,1,"h"
19,2019,2,"l"
19,2019,44,"n"
18,2019,3,"l"
18,2019,55,"n"
17,2019,1,"h"
17,2019,58,"n"
16,2019,51,"n"
15,2019,33,"n"
15,2019,2,"l"
14,2019,3,"l"
14,2019,1,"h"
14,2019,75,"n"
13,2019,14,"h"
13,2019,5,"l"
13,2019,376,"n"
12,2019,284,"n"
12,2019,12,"h"
12,2019,2,"l"
11,2019,211,"n"
11,2019,7,"l"
11,2019,1,"h"
10,2019,2,"l"
10,2019,1,"h"
10,2019,188,"n"
9,2019,5,"h"
9,2019,9,"l"
9,2019,427,"n"
8,2019,1,"l"
8,2019,5,"h"
8,2019,266,"n"
7,2019,5,"h"
7,2019,164,"n"
6,2019,45,"n"
6,2019,1,"l"
6,2019,1,"h"
5,2019,21,"n"
4,2019,1,"l"
4,2019,28,"n"
3,2019,1,"h"
3,2019,1,"l"
3,2019,64,"n"
2,2019,152,"n"
2,2019,3,"l"
2,2019,1,"h"
1,2019,4,"h"
1,2019,4,"l"
1,2019,148,"n"
52,2018,63,"n"
51,2018,2,"l"
51,2018,1,"h"
51,2018,55,"n"
50,2018,30,"n"
50,2018,1,"l"
49,2018,110,"n"
48,2018,1,"h"
48,2018,52,"n"
47,2018,39,"n"
46,2018,44,"n"
45,2018,41,"n"
44,2018,2,"h"
44,2018,47,"n"
43,2018,1,"h"
43,2018,139,"n"
42,2018,42,"n"
41,2018,99,"n"
41,2018,4,"h"
41,2018,1,"l"
40,2018,152,"n"
40,2018,7,"l"
40,2018,10,"h"
39,2018,2,"h"
39,2018,233,"n"
39,2018,18,"l"
38,2018,9,"l"
38,2018,164,"n"
38,2018,3,"h"
37,2018,4,"l"
37,2018,49,"n"
37,2018,1,"h"
36,2018,4,"h"
36,2018,99,"n"
35,2018,7,"l"
35,2018,2,"h"
35,2018,99,"n"
34,2018,6,"h"
34,2018,102,"n"
34,2018,9,"l"
33,2018,6,"l"
33,2018,93,"n"
33,2018,1,"h"
32,2018,78,"n"
32,2018,6,"l"
32,2018,5,"h"
31,2018,2,"h"
31,2018,9,"l"
31,2018,106,"n"
30,2018,94,"n"
30,2018,3,"h"
30,2018,6,"l"
29,2018,11,"h"
29,2018,4,"l"
29,2018,80,"n"
28,2018,9,"h"
28,2018,1,"l"
28,2018,55,"n"
27,2018,8,"h"
27,2018,14,"l"
27,2018,93,"n"
26,2018,2,"l"
26,2018,38,"n"
26,2018,3,"h"
25,2018,68,"n"
25,2018,8,"h"
25,2018,2,"l"
24,2018,7,"l"
24,2018,2,"h"
24,2018,112,"n"
23,2018,48,"n"
22,2018,2,"l"
22,2018,49,"n"
21,2018,76,"n"
21,2018,4,"l"
20,2018,1,"l"
20,2018,116,"n"
20,2018,1,"h"
19,2018,1,"l"
19,2018,47,"n"
19,2018,5,"h"
18,2018,83,"n"
18,2018,1,"h"
17,2018,22,"n"
17,2018,1,"h"
16,2018,3,"l"
16,2018,129,"n"
16,2018,1,"h"
15,2018,9,"n"
14,2018,42,"n"
14,2018,1,"l"
13,2018,115,"n"
12,2018,3,"h"
12,2018,30,"n"
11,2018,56,"n"
10,2018,56,"n"
10,2018,1,"h"
9,2018,28,"n"
9,2018,1,"h"
8,2018,65,"n"
8,2018,5,"h"
8,2018,2,"l"
7,2018,76,"n"
7,2018,1,"h"
6,2018,42,"n"
6,2018,1,"h"
5,2018,1,"l"
5,2018,90,"n"
4,2018,40,"n"
3,2018,52,"n"
2,2018,62,"n"
1,2018,1,"l"
1,2018,80,"n"
52,2017,2,"h"
52,2017,2,"l"
52,2017,63,"n"
51,2017,53,"n"
50,2017,44,"n"
50,2017,1,"l"
49,2017,27,"n"
48,2017,100,"n"
48,2017,1,"l"
47,2017,244,"n"
47,2017,1,"l"
46,2017,7,"h"
46,2017,255,"n"
45,2017,1,"l"
45,2017,98,"n"
45,2017,1,"h"
44,2017,2,"h"
44,2017,77,"n"
43,2017,5,"l"
43,2017,3,"h"
43,2017,208,"n"
42,2017,271,"n"
42,2017,1,"l"
42,2017,53,"h"
41,2017,50,"l"
41,2017,363,"n"
41,2017,72,"h"
40,2017,3,"h"
40,2017,13,"l"
40,2017,81,"n"
39,2017,148,"n"
39,2017,11,"l"
39,2017,3,"h"
38,2017,84,"n"
38,2017,7,"h"
38,2017,14,"l"
37,2017,120,"n"
37,2017,3,"h"
